r2_score_train_1,r2_score_test_1,r2_score_train_0,r2_score_test_0,r2_score_train_2,r2_score_test_2
,,,,0.636127981694853,0.07124703789217468
0.5250014550647484,0.41040177910980014,,,,
,,0.7281883834628458,0.31707799913493206,,
,,,,0.5741177565901971,0.4811977582459208
0.5148004272937511,0.3603422212671705,,,,
,,0.6850122610333109,0.43405162329700697,,
,,,,0.6374908224461325,0.1761830717222247
0.5118739856689019,0.41424861135129454,,,,
,,0.6834161774484093,0.519638197043653,,
,,,,0.6379882601874705,0.16558066606167032
0.5235233951123803,0.3946527821539275,,,,
,,0.6909033814409815,0.4286261386500634,,
,,,,0.6537402016997147,0.18200517010382145
0.5110121412862223,0.34613975546651565,,,,
,,0.7079110907985583,0.43175462593866953,,
,,,,0.5980725694669757,0.29388629225463436
0.5684624981470878,0.31045203761357665,,,,
,,0.6963127914748721,0.4945916338016667,,
,,,,0.6000371420931119,0.32803857900946665
0.501503309228813,0.3928344248229083,,,,
,,0.7065306009599761,0.4414785829655413,,
,,,,0.6435168847954528,0.04751921546093796
0.5453299966278939,0.20642045358929262,,,,
,,0.7096869126743347,0.4871768281892298,,
,,,,0.6506470915229801,0.12722221758506658
0.5389961750929165,0.3005615790484364,,,,
,,0.705442711330506,0.26764998413849805,,
,,,,0.5953347296793583,0.437308675052387
0.5428857517451602,0.3629290580259029,,,,
,,0.6780767835557617,0.6654912447190647,,
,,,,0.6395961382737392,0.22879773406033854
0.546047689819287,0.26404017588037365,,,,
,,0.6962651509794572,0.4563273319050011,,
,,,,0.6136864229400429,0.3398160897941539
0.5632655424684512,0.1247300353198002,,,,
,,0.7161082942128096,0.19808608086339352,,
,,,,0.59670911323218,0.40725432299384
0.521835755367998,0.3590445164921101,,,,
,,0.7046744495536751,0.42533527830417495,,
,,,,0.6011775206336254,0.33326367389594547
0.5210570153631163,0.4125254623065374,,,,
,,0.6747470392518156,0.6856160270936039,,
,,,,0.6300100442883589,0.15697774783558094
0.5250302099462886,0.3924087059546184,,,,
,,0.6584493128001203,0.6370363576865037,,
,,,,0.6588725921023011,0.03488265814764535
0.522129476538593,0.3502970845259661,,,,
,,0.6962946333297162,0.4494205645708048,,
,,,,0.5972304688158971,0.39850913698863166
0.5124835125058547,0.492607838013317,,,,
,,0.7011046362681106,0.502294709513312,,
,,,,0.5976710695691261,0.3259942367269516
0.5149622571274841,0.3746362157153794,,,,
,,0.7089411224969621,0.3569869588341028,,
,,,,0.6253056518624087,0.22206944485558522
0.5254178873002153,0.36041464122718747,,,,
,,0.6883304464267199,0.535503066461789,,
,,,,0.6262592245933634,0.2107339753368005
0.5533459344427261,0.2871276771436042,,,,
,,0.6986085913886921,0.40627884695741046,,
,,,,0.6373573632489333,0.2719999890027659
0.5221615368263892,0.44213039268777554,,,,
,,0.6864614200852215,0.4306352403909174,,
,,,,0.6683871893871283,0.06535029234908096
0.5507138234384852,0.3210962288681305,,,,
,,0.703885552257228,0.4921307958188591,,
,,,,0.5991770873836714,0.29827068240536125
0.557033831906763,-0.006649343779916883,,,,
,,0.7073116695133718,0.44914722357973214,,
,,,,0.6455970576631773,0.14048032058149063
0.5253127091873993,0.430600687333055,,,,
,,0.6891799664054847,0.4798900033793647,,
,,,,0.6077721792442983,0.3907550648491316
0.5298589325662424,0.2898421501220566,,,,
,,0.7402874241949864,0.23683070653533922,,
,,,,0.6021919958632319,0.3082206936497136
0.5373450495392764,0.3023832919888513,,,,
,,0.738750278585691,0.16032908900146114,,
,,,,0.6417110386913341,0.013741297675097908
0.540221029765501,0.34078666244725364,,,,
,,0.6890075829124529,0.478605226322916,,
,,,,0.5975823472006251,0.20019326056279807
0.5430054326279483,0.32831422075760397,,,,
,,0.7180976441744318,0.40579615436125194,,
,,,,0.6119786426959306,0.2873016010985373
0.5246426306149554,0.39464691351758263,,,,
,,0.689038667317866,0.19144103955931635,,
,,,,0.6249642497152483,0.147905647334435
0.5025440561222541,0.3706938567572352,,,,
,,0.7296366659985656,0.30797374952509016,,
,,,,0.6306539761034711,0.16247436247933233
0.5211472498090317,0.34135924135743934,,,,
,,0.7072109737735639,0.31061589214673624,,
,,,,0.6069540492675657,0.317099497306089
0.5325144998358626,0.24867077260415782,,,,
,,0.6945020977277689,0.40565189492052844,,
,,,,0.6534099512846367,0.13169362142709284
0.5413804081716361,0.27294500967002877,,,,
,,0.6830707549279051,0.4415630610145185,,
,,,,0.6556173863937491,-0.12814275750552517
0.5239707289218531,0.42395921421846183,,,,
,,0.6625327994522475,0.5100370615411509,,
,,,,0.5870737804157842,0.45853136131119765
0.5293265724717711,0.3914517642333698,,,,
,,0.676706873895806,0.5592666846839074,,
,,,,0.6363188727279461,0.20987291558347587
0.502717157750922,0.3809234007413891,,,,
,,0.6798137458430913,0.510099412233401,,
,,,,0.6065907726326227,0.30996235174519005
0.5204773212739167,0.469379889301626,,,,
,,0.6824436405458196,0.5899934688417393,,
,,,,0.6079731030036659,0.28936391102277703
0.5866971160569849,0.11030802584800659,,,,
,,0.7031774703815947,0.5259588527912249,,
,,,,0.6301456444399323,-0.015079660280660878
0.521436775328566,0.3522622682553974,,,,
,,0.6482294516852533,0.7143112194156755,,
,,,,0.5948036957922036,0.4403233837192674
0.5376592432351064,0.3218745575224742,,,,
,,0.6850224929242182,0.5315408768959504,,
,,,,0.5949232150757202,0.43821228464761985
0.5242290826682336,0.34909293662205443,,,,
,,0.7321012594119367,0.18427569021210877,,
,,,,0.6343550384590699,0.19525707404163362
0.544059780394369,0.2869532174363978,,,,
,,0.6707761326135762,0.6440218825052982,,
,,,,0.6019798263839412,0.3395949682809646
0.5507988497862057,0.28150475520058893,,,,
,,0.6818564924050976,0.6437554932790994,,
,,,,0.6288231567524332,0.26238308467080074
0.5341038406204794,0.33868380438332946,,,,
,,0.6923135812514273,0.5828743177892828,,
,,,,0.6608875762743558,0.09015624401276257
0.5410399210784937,0.19048685317682668,,,,
,,0.713685911829903,0.2908905799187811,,
,,,,0.5759477036896086,0.5308802934556252
0.5410076518566145,0.23738585645289756,,,,
,,0.7296681899578745,0.448527697705259,,
,,,,0.5982604303961485,0.34126151447037767
0.5166468852746515,0.3600229238337478,,,,
,,0.6563684513266106,0.6561882109325479,,
,,,,0.5908249424722027,0.4081402248759779
0.5420388762687216,0.22862340054269192,,,,
,,0.7473879103228585,0.1495709316817474,,
,,,,0.6139061208013362,0.19324555400861454
0.5296731173892937,0.3263937236221792,,,,
,,0.7118696138129317,0.417005006973693,,
,,,,0.6048686628991653,0.3291985806692941
0.5220410223036436,0.4102967326902658,,,,
,,0.7055446983763565,0.32248638782138483,,
,,,,0.6253719157716144,0.29013260927877926
0.5803367697308021,0.22557166533759943,,,,
,,0.7207793618328158,0.4397989692313268,,
,,,,0.6174145668503447,0.13060389467259848
0.5140210981128288,0.39305567138466724,,,,
,,0.7023554872286313,0.4028782590527794,,
,,,,0.6082703522454181,0.3487916343603594
0.5479512376918458,0.28415905381747275,,,,
,,0.6969895146026894,0.5528259064163499,,
,,,,0.6059088701013267,0.2293315276886133
0.5269877200880251,0.3835400712241962,,,,
,,0.7324091296950113,0.3316982955883153,,
,,,,0.6004831791713013,0.441527683745224
0.5344769416583206,0.4107058399006277,,,,
,,0.691137120337856,0.546292526673839,,
,,,,0.5989256060363367,0.31160513398972833
0.5175302090142815,0.480635920854539,,,,
,,0.7193189344029988,0.3196533333693513,,
,,,,0.6592631720164548,-0.0036254371756652137
0.547090356256883,0.28773332237651095,,,,
,,0.7213406833309293,0.3373840766467,,
,,,,0.5907491439911986,0.39470782499756774
0.5271192027406102,0.38707611463734914,,,,
,,0.7207615779376448,0.4466004461373312,,
,,,,0.6283804082003321,0.1828658822642245
0.5379206579560065,0.2709123292686667,,,,
,,0.7082495521756103,0.40981318422776214,,
,,,,0.6132416041088943,0.312305614805756
0.5228151561802012,0.4201524974131806,,,,
,,0.7001417344559602,0.25977264759691765,,
,,,,0.6524989649262682,0.13533509768534213
0.5245555780836602,0.3759002146811432,,,,
,,0.6960512214377679,0.3669956117935369,,
,,,,0.5802696312200795,0.44691909490576076
0.5031258516099837,0.41703828180781977,,,,
,,0.7150874668814171,0.34058492828687714,,
,,,,0.6154885211427112,0.25615126634964724
0.5453394775871685,0.2352285322868637,,,,
,,0.6820527477128948,0.525777859531156,,
,,,,0.6208446314669596,0.24917337300916953
0.5129068926720037,0.39090771787880296,,,,
,,0.6983865515307425,0.5328193723314099,,
,,,,0.6441371307823092,-0.1275381375031206
0.5288776447606207,0.28135723134943,,,,
,,0.6773375513412488,0.5438512587693741,,
,,,,0.6032192552824214,0.28697264073813444
0.5338385751613557,0.334903660206338,,,,
,,0.7125530714653248,0.2607361266837661,,
,,,,0.6054194830554215,0.2984112648645627
0.5718086058772824,0.19250771922515708,,,,
,,0.7181362104961859,0.20717461394808367,,
,,,,0.6359893027359997,0.1779949553462813
0.5319773196813085,0.3467809001847437,,,,
,,0.710784657610323,0.3428025759649238,,
,,,,0.6255414025478376,0.12612011177840787
0.52487748108908,0.35078516422983574,,,,
,,0.7256309425606968,0.2834134001358186,,
,,,,0.6083972584189632,0.3094083923352069
0.5260361620874741,0.4122960990136907,,,,
,,0.7007423773940917,0.44345842778778277,,
,,,,0.5971256926171866,0.3674370178636551
0.5102268751762113,0.4148531285203647,,,,
,,0.7000774903763923,0.4703033797632836,,
,,,,0.6070583513034755,0.305954926760138
0.5237271451233987,0.3421243252701621,,,,
,,0.7110164510929551,0.43246041427088067,,
,,,,0.6414087537188398,0.20641173581716643
0.5605101222708077,0.22722917795905784,,,,
,,0.7011060333878019,0.4969858634294916,,
,,,,0.5738116934916679,0.3386827142853639
0.5212095534863666,0.34632652238591644,,,,
,,0.7070046931077979,0.39461423204311674,,
,,,,0.6535316737123802,0.09686659984458124
0.5272068345517665,0.37485340311185644,,,,
,,0.7462093087465911,0.3944781830851354,,
,,,,0.6226218861655997,0.28884506793649367
0.5443996320759974,0.2613557829133818,,,,
,,0.7066344833192332,0.36566840895596786,,
,,,,0.6293590623470495,0.26004269575080685
0.543971635180348,0.27762853962419676,,,,
,,0.6471923532487923,0.6732627059019436,,
,,,,0.5932622065641573,0.42751335178857486
0.5365336379508485,0.2929183269105107,,,,
,,0.7265540698631998,0.035963906905283616,,
,,,,0.5856585622919475,0.4532768192464115
0.5220812779679652,0.4465699491097972,,,,
,,0.6956894678312187,0.37269085656074563,,
,,,,0.6184127832381978,0.3695752664447699
0.5520221176525203,0.18708115601876774,,,,
,,0.6672558239515044,0.6462581752624839,,
,,,,0.6224117111278525,0.27438021976215976
0.5272902685501745,0.3837188624250616,,,,
,,0.6908161227087846,0.5494114058760375,,
,,,,0.6165148734649138,0.28851188668767336
0.5612170261368816,0.22783904820293,,,,
,,0.7360680692822689,0.21208278870216668,,
,,,,0.5975965699686672,0.3420503711233218
0.5167884449684115,0.45962638473688133,,,,
,,0.7221492513693337,0.33469144766033465,,
,,,,0.6190346033317655,0.06101610897738419
0.5305032772848768,0.37757431024105126,,,,
,,0.6828641474339932,0.580449008148188,,
,,,,0.6377484547019783,0.25983835234480623
0.5796753865444666,0.22490612876816118,,,,
,,0.7403601444824288,0.2096398639554189,,
,,,,0.6074785589720562,0.35164865653929056
0.5484265916773156,0.3277881939488584,,,,
,,0.6825872510898007,0.5801164494358357,,
,,,,0.6076206098790993,0.17798586360424695
0.5384362111701131,0.3188193579917641,,,,
,,0.6997065733007918,0.3357172721622653,,
,,,,0.6403403637671481,-0.021221727763368614
0.5016443005073492,0.42062826475804527,,,,
,,0.6883788974273677,0.48652824445892595,,
,,,,0.6000880579753624,0.3459808252004406
0.5488632314449154,0.28615869595368404,,,,
,,0.7179081381531569,0.47668587919666416,,
,,,,0.592941125860319,0.31674580502999716
0.588093918683873,0.25367702212819876,,,,
,,0.7155633031103299,0.450062366896145,,
,,,,0.5896471775886705,0.46349966884970106
0.5230381000527324,0.48857763893601347,,,,
,,0.7004161640224891,0.4669450361711316,,
,,,,0.570895668395724,0.5020306665066412
0.5604312458738672,0.309862375336707,,,,
,,0.713183343744956,0.40200178820820187,,
,,,,0.6083266543043335,0.3133339863265303
0.5526726713773413,0.20092618295831632,,,,
,,0.7137657946322318,0.37998663273107747,,
,,,,0.6257330557478571,0.20493564687029153
0.5466324051401233,0.3091689152452499,,,,
,,0.6832492830389516,0.44714183974575794,,
,,,,0.6507845236328684,0.00839588729448204
0.5220846055398833,0.3733597386558676,,,,
,,0.68346264390975,0.42023185547462083,,
,,,,0.6180124099970796,0.16598153103312308
0.5274025963406962,0.353278818086069,,,,
,,0.7071260624454,0.3841206271997699,,
,,,,0.602371242700819,0.3223026130265375
0.5198321124754602,0.45182423601230526,,,,
,,0.6852596979839684,0.5255083049322132,,
,,,,0.6605434052480654,0.13426846372735812
0.5409294485362351,0.28723607994247613,,,,
,,0.693432598546808,0.49460088015590076,,
,,,,0.589100628176318,0.38082420225949165
0.5338640671218249,0.30614792665841806,,,,
,,0.7015611093495044,0.39060454297303937,,
,,,,0.6359377345200512,-0.1591125447383932
0.5321766659632106,0.32693560554443624,,,,
,,0.7083849847808876,0.37944717952559903,,
,,,,0.6072254746287991,0.33600182093132913
0.5065635048531778,0.3943956305184636,,,,
,,0.7051792830673329,0.4746535851117104,,
,,,,0.6214550856855352,0.26266448927125363
0.5260580890329657,0.34810740661561956,,,,
,,0.7038733702976981,0.4668511208061755,,
,,,,0.6387747356998773,0.019649997945616948
0.519857128858916,0.4347165361375973,,,,
,,0.7068497289144492,0.45852777591915983,,
,,,,0.6504503795368908,-0.07309263294535873
0.5557927831393643,0.19193966169213417,,,,
,,0.7028101962706849,0.4360736031350644,,
,,,,0.5879386287560109,0.34744294662533437
0.5291778147254109,0.3733445902995801,,,,
,,0.7125588908797579,0.26556834068271473,,
,,,,0.5925135590250994,0.3770976342034956
0.5452232592795296,-0.1072622259131335,,,,
,,0.6991932940448593,0.4334741356720687,,
,,,,0.5858834785148488,0.4245522187609001
0.536335045286333,0.2872565050931327,,,,
,,0.73403799166301,0.26123172926610294,,
,,,,0.6293394297633648,0.07186218441702086
0.5384371391217104,0.32378018742702563,,,,
,,0.6930126837650068,0.49878319673109295,,
,,,,0.6552135209636707,0.150989270941581
0.539241614689469,0.2823962844114697,,,,
,,0.7137787982668885,0.4128994590200815,,
,,,,0.6308511518508364,0.13639751003113143
0.5616847710664323,0.27251126899776523,,,,
,,0.6892165200679021,0.5373689559095207,,
,,,,0.5971288742919418,0.43459997093873637
0.553629097503856,0.2507674780582616,,,,
,,0.6807815604077472,0.5492572282066313,,
,,,,0.6179815094517485,0.16815428598661109
0.5360717810003888,0.30640105829731046,,,,
,,0.7570897522029064,0.31038478762764843,,
,,,,0.5933100189944263,0.40406373811043894
0.5118198073242315,0.3637835084118408,,,,
,,0.7031179695808099,0.45591184568345156,,
,,,,0.6191292724190074,0.2807473252023821
0.5087603697770242,0.453610039063842,,,,
,,0.7222760012301406,0.09312930242417905,,
,,,,0.6250178131431408,0.028685170248541003
0.5517962997505875,0.20776031880599766,,,,
,,0.6812123170649831,0.5572969559267013,,
,,,,0.6092838053891588,0.24936008192085624
0.5934008848224993,0.2066328599714341,,,,
,,0.665673673578562,0.7045956210468354,,
,,,,0.6130702240097918,0.35676609853747854
0.5241446062589659,0.4256035272487193,,,,
,,0.6904781575660661,0.5017048342559565,,
,,,,0.6202051590763997,0.25068637014021433
0.5460510224996432,0.2570137040146039,,,,
,,0.7086226400662549,0.37304520484949777,,
,,,,0.6171976785864164,0.11079091424573617
0.5333554581536857,0.30116192190326085,,,,
,,0.7144373031052957,0.3873747941037866,,
,,,,0.5921813986674254,0.30737846960987125
0.5727552457260716,0.22007767623826058,,,,
,,0.7008742975767357,0.487446515301034,,
,,,,0.6107696432719272,0.17716183366815308
0.5248132599781038,0.36585629755259363,,,,
,,0.6890325482243662,0.5411849675757446,,
,,,,0.603829069979537,0.2492194346841975
0.5256221037246944,0.3295927906716658,,,,
,,0.6990561149761568,0.33992182588326014,,
,,,,0.6302248954689,0.2792785934342159
0.5326745791324523,0.3352164705117525,,,,
,,0.6925727759936138,0.6117063567872889,,
,,,,0.6075692293373934,0.3148423981966939
0.5030188804598009,0.4063255685641374,,,,
,,0.7424186205927439,0.2874949387792993,,
,,,,0.6345166222718914,0.08456710206411244
0.53262136433161,0.31477399077245105,,,,
,,0.6839172551240672,0.6137610794351306,,
,,,,0.6006569894878098,0.40356695128454334
0.5479739483089321,0.268392902452225,,,,
,,0.7044156885048305,0.38779023068703555,,
,,,,0.5915527236432505,0.41909192917717364
0.5417650944594643,0.025915151694217764,,,,
,,0.699290006572262,0.4243747212674617,,
,,,,0.5824005751032,0.46205725579249657
0.5448189354753241,0.293887472472792,,,,
,,0.7007618399880673,0.4752528624441469,,
,,,,0.6445882996124271,-0.05969782427867698
0.5765052445043167,0.13872223876351253,,,,
,,0.6787358991588561,0.5546827059852197,,
,,,,0.6259482206270556,0.28527805846128773
0.5642470488298608,-0.16598605858606463,,,,
,,0.7097045090482975,0.39453425623351757,,
,,,,0.6284869264597275,0.10671940748919062
0.5657049953155432,0.29390326053324733,,,,
,,0.7013058949643851,0.4304074232465208,,
,,,,0.6015619025847146,0.35660178281646493
0.5362364168543974,0.2649710306936708,,,,
,,0.6775975789939305,0.49541525237088957,,
,,,,0.6097835485097347,0.34067336943158943
0.502781428993196,0.44683884007864605,,,,
,,0.6974145961310325,0.5163957287002496,,
,,,,0.5938701630482421,0.3949773572190248
0.5265140157291499,0.3985975186179618,,,,
,,0.7102863049998018,0.3531222018083321,,
,,,,0.6155089322404993,0.2681521995299967
0.5141639966321321,0.4849213177203249,,,,
,,0.6996934151145884,0.5541098337504197,,
,,,,0.6013975288330417,0.36138992093378286
0.5099469168933544,0.500250673126866,,,,
