r2_score_train_P1,r2_score_test_P1,r2_score_train_P2,r2_score_test_P2,r2_score_train_P3,r2_score_test_P3,r2_score_train_P4,r2_score_test_P4,r2_score_train_P5,r2_score_test_P5,r2_score_train_P6,r2_score_test_P6,r2_score_train_P7,r2_score_test_P7,r2_score_train_P8,r2_score_test_P8,r2_score_train_P9,r2_score_test_P9
0.6459156897122227,0.2405948105686898,,,,,,,,,,,,,,,,
,,0.8099516377265281,0.4823020678166907,,,,,,,,,,,,,,
,,,,0.6925500751885961,0.17992490556031437,,,,,,,,,,,,
,,,,,,0.8608770223737411,0.6362439569655869,,,,,,,,,,
,,,,,,,,0.9068094208335319,0.3533823342738016,,,,,,,,
,,,,,,,,,,0.6907353016264837,-0.1346818289066971,,,,,,
,,,,,,,,,,,,0.6431723674937534,0.08786445162498757,,,,
,,,,,,,,,,,,,,0.8621557805684525,0.31749584829912036,,
,,,,,,,,,,,,,,,,0.7909640455036251,0.47588877650250994
0.6442918616310871,0.29761960524191056,,,,,,,,,,,,,,,,
,,0.812057383940269,0.4295146253639547,,,,,,,,,,,,,,
,,,,0.6916749920284,0.2329703140882996,,,,,,,,,,,,
,,,,,,0.8969910446193361,0.6494179273711773,,,,,,,,,,
,,,,,,,,0.9038787277819249,0.30105296248309754,,,,,,,,
,,,,,,,,,,0.7228828205837421,-0.07780686406770809,,,,,,
,,,,,,,,,,,,0.6395612959744601,0.14596798099987562,,,,
,,,,,,,,,,,,,,0.8852103459896067,0.11915735057899968,,
,,,,,,,,,,,,,,,,0.8323008211624907,0.40657535281300916
0.6075449896668508,0.311739190846135,,,,,,,,,,,,,,,,
,,0.7828974226188569,0.3656876236519694,,,,,,,,,,,,,,
,,,,0.6850092721820216,0.3940201356457368,,,,,,,,,,,,
,,,,,,0.8792890963301018,0.668744211555796,,,,,,,,,,
,,,,,,,,0.9236174390850974,0.11428499345144316,,,,,,,,
,,,,,,,,,,0.6485209858528549,-0.01577416199547943,,,,,,
,,,,,,,,,,,,0.6202647746556844,0.2424555132602858,,,,
,,,,,,,,,,,,,,0.8313547769681126,0.3088542898439788,,
,,,,,,,,,,,,,,,,0.8118561352897211,0.46587806882423355
0.6517915440498389,0.19145354393556324,,,,,,,,,,,,,,,,
,,0.8146901128393489,0.33563050716464216,,,,,,,,,,,,,,
,,,,0.696620916846383,0.3110621264321979,,,,,,,,,,,,
,,,,,,0.9128609988050161,0.45007304892351774,,,,,,,,,,
,,,,,,,,0.8982828491380241,0.5643785620293735,,,,,,,,
,,,,,,,,,,0.6107471891334944,0.043869819119807474,,,,,,
,,,,,,,,,,,,0.5885082331992009,0.3552466933504713,,,,
,,,,,,,,,,,,,,0.8274645326549133,0.3376541509085549,,
,,,,,,,,,,,,,,,,0.8248479624363348,0.07837724546483704
0.6340732001404428,0.35129115153158563,,,,,,,,,,,,,,,,
,,0.8692551610954278,-0.1465667995102382,,,,,,,,,,,,,,
,,,,0.730514763490747,0.170423708697651,,,,,,,,,,,,
,,,,,,0.8999752377954078,0.3216502245280408,,,,,,,,,,
,,,,,,,,0.8884027965382237,0.5870492507256267,,,,,,,,
,,,,,,,,,,0.5984559235055613,-0.17039567331312577,,,,,,
,,,,,,,,,,,,0.6447594721212094,-0.07370586798320233,,,,
,,,,,,,,,,,,,,0.8054506547424436,0.48087741660217875,,
,,,,,,,,,,,,,,,,0.7953193666896388,0.5882931227334006
0.6326859777057943,0.21754099784538694,,,,,,,,,,,,,,,,
,,0.8293285708366825,0.4218672426849924,,,,,,,,,,,,,,
,,,,0.7046855369299578,0.2640061848359667,,,,,,,,,,,,
,,,,,,0.8798672273044674,0.13394971014143398,,,,,,,,,,
,,,,,,,,0.8989427529207541,-0.22430125022264868,,,,,,,,
,,,,,,,,,,0.599599774553145,0.21937686143887491,,,,,,
,,,,,,,,,,,,0.6460830102200678,0.03592513312140533,,,,
,,,,,,,,,,,,,,0.8715731631819139,-0.32612249072745003,,
,,,,,,,,,,,,,,,,0.8489906837996235,0.39167773796270966
0.6554314720358827,0.14302779606245464,,,,,,,,,,,,,,,,
,,0.8335086636417072,0.25655932330941855,,,,,,,,,,,,,,
,,,,0.7258400025729771,0.07555007527594348,,,,,,,,,,,,
,,,,,,0.8935323593717975,0.3188573828365818,,,,,,,,,,
,,,,,,,,0.9052164497550612,0.26322321916751945,,,,,,,,
,,,,,,,,,,0.5925378788732283,0.32259849100994076,,,,,,
,,,,,,,,,,,,0.6199517740339027,0.27666898571627674,,,,
,,,,,,,,,,,,,,0.8571070727567838,0.3644033553693887,,
,,,,,,,,,,,,,,,,0.8125700789407734,0.5315329006509084
0.6224756709762262,0.309438947123168,,,,,,,,,,,,,,,,
,,0.7834940016708385,0.34480809821150693,,,,,,,,,,,,,,
,,,,0.6673225736528203,0.3756417815325451,,,,,,,,,,,,
,,,,,,0.9104281063102638,-0.43000045762981465,,,,,,,,,,
,,,,,,,,0.9045083886092278,0.3526103690779081,,,,,,,,
,,,,,,,,,,0.6536256708628136,0.059454634783187466,,,,,,
,,,,,,,,,,,,0.5527569206498646,0.5471148060921929,,,,
,,,,,,,,,,,,,,0.8378397118403507,0.3846056642462753,,
,,,,,,,,,,,,,,,,0.8575736180861604,0.2252534405098059
0.6329836515354044,0.2908625191321905,,,,,,,,,,,,,,,,
,,0.811077788890762,0.1251758766137142,,,,,,,,,,,,,,
,,,,0.668910509961673,0.3863738982636479,,,,,,,,,,,,
,,,,,,0.8907216585440489,0.6636005130564271,,,,,,,,,,
,,,,,,,,0.862033292493857,0.7935098029716472,,,,,,,,
,,,,,,,,,,0.5897043367517392,0.1592423034655538,,,,,,
,,,,,,,,,,,,0.6018289405552322,0.32719241057171566,,,,
,,,,,,,,,,,,,,0.8297099290108365,0.3510415671462944,,
,,,,,,,,,,,,,,,,0.7540780764381046,0.480125311360586
0.6219361440343136,0.40389540392793466,,,,,,,,,,,,,,,,
,,0.7928234749611403,0.4478178095329385,,,,,,,,,,,,,,
,,,,0.6691088525291528,0.4901062797723663,,,,,,,,,,,,
,,,,,,0.8872464018866554,0.2610859363570882,,,,,,,,,,
,,,,,,,,0.9188042362940209,0.30211101296363474,,,,,,,,
,,,,,,,,,,0.6415348210510959,-0.7570678148288883,,,,,,
,,,,,,,,,,,,0.6543688093684997,0.01679993793471035,,,,
,,,,,,,,,,,,,,0.8319808003336355,0.2997271501216666,,
,,,,,,,,,,,,,,,,0.8589288410303023,0.16648708331920448
0.669000211003618,0.2372686866590884,,,,,,,,,,,,,,,,
,,0.801066916449689,0.4739968631743927,,,,,,,,,,,,,,
,,,,0.6824829525733687,0.03972981340324533,,,,,,,,,,,,
,,,,,,0.8929904901093424,0.2584409166225091,,,,,,,,,,
,,,,,,,,0.894532095828642,0.13951846819738534,,,,,,,,
,,,,,,,,,,0.6060343411804338,0.27307196930461497,,,,,,
,,,,,,,,,,,,0.6075253932990142,0.31152701625065216,,,,
,,,,,,,,,,,,,,0.8438143424644494,0.2967070099966155,,
,,,,,,,,,,,,,,,,0.8154910048961893,0.3574358262054246
0.6196881491084857,0.34519696674527056,,,,,,,,,,,,,,,,
,,0.7988606871172084,0.6479908271068058,,,,,,,,,,,,,,
,,,,0.7063625272780714,0.3911489249230755,,,,,,,,,,,,
