r2_score_train_0,r2_score_test_0,r2_score_train_1,r2_score_test_1,r2_score_train_2,r2_score_test_2
,,0.6696279445883553,0.4488006743367347,,
,,,,0.6029295347831771,0.4124121229069147
0.4703147702033908,0.5757586095979906,,,,
,,0.6630150233672489,0.5457583064382534,,
,,,,0.6021865721781339,0.0563256947030467
0.5027198909302887,0.4818161895555164,,,,
,,0.6328502899080737,0.6554004622154586,,
,,,,0.5774936404546857,0.5295104747294218
0.5030540761137232,0.4734035599853121,,,,
,,0.6513252700739831,0.5902089310473033,,
,,,,0.5757738466793201,0.5680448626914143
0.513364883430294,0.4416415889935543,,,,
,,0.6133490451416008,0.6926370379358056,,
,,,,0.5723056837898097,0.5655077275385079
0.5010963468446441,0.5072025916371492,,,,
,,0.6825704747265108,0.5286413041661993,,
,,,,0.5720694430992691,0.5521535523360123
0.4874309468328147,0.5409530384056588,,,,
,,0.6444478785469838,0.6235005692809995,,
,,,,0.590181411618653,0.5098391265790758
0.5360954896782055,0.3159805756577715,,,,
,,0.6439729565446972,0.6158644969270473,,
,,,,0.5579255208732194,0.633053215398669
0.490025678873434,0.5352203823226214,,,,
,,0.6380843478842277,0.6505938098515607,,
,,,,0.6064143079218018,0.36185158163062
0.4960987372411128,0.5031706101480986,,,,
,,0.6419860986219149,0.6224685343818983,,
,,,,0.5733348457296203,0.5842713666001973
0.4970354864419062,0.5169042866971384,,,,
,,0.6391767904965581,0.6428784262656433,,
,,,,0.6019409977977284,0.4104019781888667
0.4896279630922071,0.51822011556548,,,,
,,0.6525474611745878,0.5709338463586314,,
,,,,0.5953958917026358,0.4972324749303496
0.456625537354576,0.6392054604471855,,,,
,,0.6484317231024087,0.5971380269116879,,
,,,,0.5972177135760262,0.3372016019125272
0.4825138815109636,0.5246517267766981,,,,
,,0.6653276634760517,0.4690618825858959,,
,,,,0.5785786654436904,0.5250551310372852
0.5026700775677481,0.4723966306205095,,,,
,,0.6203270430689214,0.687934581256681,,
,,,,0.5696990921124283,0.5821777523257305
0.4983362393369588,0.5073664946638079,,,,
,,0.634324003712402,0.6704056198671092,,
,,,,0.5332702053625993,0.6816175331840334
0.4989632846792623,0.4945571678816109,,,,
,,0.6344491421306356,0.6671331862981142,,
,,,,0.5884726265088975,0.5089048116664328
0.5268267862022846,0.4218241420011455,,,,
,,0.6282412059973153,0.6968080863213443,,
,,,,0.5844650353928178,0.5425772990924098
0.499984366673413,0.5113722653400588,,,,
,,0.6271071869529836,0.6860432143316976,,
,,,,0.5572394680892914,0.662644941364599
0.511947173758245,0.4540686559937219,,,,
,,0.6549423932253555,0.5232865995385199,,
,,,,0.6041812386243868,0.451988299321967
0.5261880300775581,0.3932841553477296,,,,
,,0.6523398377040549,0.5782838582698492,,
,,,,0.5688265691902215,0.5824610572987194
0.5094642320890921,0.4685596713254348,,,,
,,0.5998546544390617,0.7198006241961781,,
,,,,0.5829527392384741,0.5324148679181169
0.4669147563917487,0.5780820752683276,,,,
,,0.6773794533061086,0.4952272696673372,,
,,,,0.5363857464311563,0.6757676754329935
0.5141202881261848,0.4564692464192844,,,,
,,0.6645002556243405,0.4507890214272994,,
,,,,0.5830628522623373,0.5049061875570391
0.4927333828345872,0.5436299797262698,,,,
,,0.644525031252613,0.615807982376123,,
,,,,0.5074519408261029,0.6554788622131825
0.5056512520728678,0.4830099289738131,,,,
,,0.6641481646422223,0.5314739258567909,,
,,,,0.5535385779828235,0.5722286715185365
0.5099893616759223,0.4640240391956696,,,,
,,0.6200018879491493,0.6588995039252211,,
,,,,0.5600963626937442,0.611827833682834
0.5013436431945633,0.5018137512721076,,,,
,,0.6144189531510154,0.7236530393089006,,
,,,,0.6093529311979425,0.3575091388740384
0.5268878992927863,0.4077153513278141,,,,
,,0.6486946830714515,0.6003313107430679,,
,,,,0.6127374046423103,0.3967836634187133
0.5423699898180694,0.2764871679677422,,,,
,,0.6252434148416011,0.6600924779256769,,
,,,,0.5857216143857322,0.5543734065821083
0.4871410192626656,0.568786760594341,,,,
,,0.6964761294603263,0.4035808862978894,,
,,,,0.5860512902165704,0.5072210402924415
0.5203629957264779,0.302809108595759,,,,
,,0.6554520345747189,0.577395453363714,,
,,,,0.5890920899768408,0.4194534301705114
0.5266594599934635,0.4043384800611388,,,,
,,0.6638472378683126,0.530282082001005,,
,,,,0.6146751500667322,0.3268727965213009
0.5032810620736801,0.4833728174351952,,,,
,,0.639540485760234,0.6450466093684091,,
,,,,0.6119903403098611,0.3075219817197228
0.4970058629400393,0.5048757377680186,,,,
,,0.6578036563649698,0.5726839640380039,,
,,,,0.5358899395641166,0.7032916694730657
0.4930254739445058,0.5125941072730649,,,,
,,0.6544736112431917,0.5722430492402628,,
,,,,0.5859263037660158,0.5173185270144651
0.5054085970769311,0.4097466144497298,,,,
,,0.6493645057602568,0.5795779623092322,,
,,,,0.5814741354182902,0.5091841021201081
0.5154651037129578,0.4382729908553507,,,,
,,0.7103777317768651,0.4295274124269765,,
,,,,0.5966424989430417,0.4732361504450971
0.5021792973245609,0.4938331617608149,,,,
,,0.6269868170762979,0.6855115435420491,,
,,,,0.588863540777163,0.4835026850275483
0.4872369296969552,0.5597502269538409,,,,
,,0.625446503964668,0.6824469410781078,,
,,,,0.5697498880048777,0.6089670754026556
0.4795041925058091,0.5637910930570946,,,,
,,0.6469636770386775,0.5879824171809647,,
,,,,0.5862581825149845,0.4267935977072085
0.5261339041699173,0.3485604122026881,,,,
,,0.6536758707898596,0.5535636568882327,,
,,,,0.5536604310123207,0.5720371574048402
0.5088703602573859,0.4314129170914635,,,,
,,0.6330620606424342,0.6572820772370449,,
,,,,0.5676205657327064,0.6171736811400077
0.4905989390611862,0.5301195407201031,,,,
,,0.6356361450966733,0.6506859681100423,,
,,,,0.5973552943764779,0.4839241532681119
0.5215344774583324,0.4189949889740221,,,,
,,0.6351851332604483,0.642869998528053,,
,,,,0.5933749994805746,0.4730239774161258
0.5139171408938304,0.4428665262932112,,,,
,,0.5996365428353521,0.7197758962651523,,
,,,,0.6169951339099626,0.2398897700119036
0.4792983376220433,0.5484084233648954,,,,
